t_s,BTC_TASK,BTU_TASK,IDLE0,IDLE1,audio,btController,esp_timer,hciT,input,ipc0,ipc1,maint,ui,charge_coeur0,charge_coeur1
508.0,0.0,0.0,95.9,86.39,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.55
518.1,0.0,0.0,95.91,86.51,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.52
528.2,0.0,0.0,95.92,85.73,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.74,2.1,12.26
538.3,0.0,0.0,95.89,86.45,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.56
548.5,0.0,0.0,95.9,86.49,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.52
558.6,0.0,0.0,95.93,85.73,11.58,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.32
568.7,0.0,0.0,95.9,86.45,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.53
578.8,0.0,0.0,95.91,86.46,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.55
588.9,0.0,0.0,95.91,85.79,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.73,2.12,12.26
599.1,0.0,0.0,95.9,86.46,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.52
609.2,0.0,0.0,95.91,86.44,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.55
619.3,0.0,0.0,95.89,85.8,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.73,2.14,12.24
629.4,0.0,0.0,95.9,86.44,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.53
639.5,0.0,0.0,95.91,86.41,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.55
649.7,0.0,0.0,95.92,85.78,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.24
659.8,0.0,0.0,95.9,86.41,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.55
669.9,0.0,0.0,95.92,86.51,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.54
680.0,0.0,0.0,95.9,85.61,11.66,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.75,2.12,12.41
690.1,0.0,0.0,95.91,86.65,11.35,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.35
700.3,0.0,0.0,95.92,86.61,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.4
710.4,0.0,0.0,95.91,85.9,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.13
720.5,0.0,0.0,95.91,86.62,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.38
730.6,0.0,0.0,95.91,86.6,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.39
740.7,0.0,0.0,95.9,85.87,11.41,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.73,2.11,12.14
750.9,0.0,0.0,95.91,86.65,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.37
