# autonomy test
# fw,878e43d
# type,idle
# result,completed
# start_soc_pct,99.5
# file,
# format,none
# rate_hz,0
# volume,0
# sd_freq_khz,40000
# cpu_freq_mhz,160
# duration_s,48453
# end,clean
t_s,voltage_mV,soc_pct,current_mA,bt,heap_min_kb
40814,3682,32.9,-70,0,3921
41054,3677,32.5,-63,0,3921
41294,3678,32.1,-56,0,3921
41534,3671,31.7,-64,0,3921
41774,3668,31.3,-75,0,3921
42014,3663,30.9,-68,0,3921
42254,3659,30.5,-85,0,3921
42494,3657,30.1,-56,0,3921
42734,3656,29.7,-59,0,3921
42974,3655,29.3,-54,0,3921
43214,3652,28.9,-45,0,3921
43454,3648,28.5,-57,0,3921
43694,3649,28.1,-66,0,3921
43934,3647,27.6,-70,0,3921
44174,3644,27.3,-57,0,3921
44414,3645,26.9,-57,0,3921
44654,3644,26.4,-67,0,3921
44894,3639,26.0,-64,0,3921
45135,3631,25.6,-74,0,3921
45375,3634,25.2,-66,0,3921
45615,3630,24.8,-55,0,3921
45855,3625,24.4,-70,0,3921
46095,3618,24.0,-77,0,3921
46335,3603,23.5,-63,0,3921
46575,3593,23.1,-36,0,3921
46815,3571,22.7,-61,0,3921
47055,3552,22.3,-71,0,3921
47295,3522,21.9,-67,0,3921
47535,3483,21.4,-96,0,3921
47775,3447,21.0,-56,0,3921
48015,3403,20.6,-55,0,3921
48255,3350,14.0,-74,0,3921
48453,3302,0.9,-71,0,3921
